Region,Stage,Individual ID,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
Anvers,"Adult, 1 Egg Stage",N1A1,39.1,18.7,181,3750,,,Not enough blood for isotopes.
Anvers,"Adult, 1 Egg Stage",N1A2,39.5,17.4,186,3800,8.94956,-24.69454,
Anvers,"Adult, 1 Egg Stage",N2A1,40.3,18,195,3250,8.36821,-25.33302,
Anvers,"Adult, 1 Egg Stage",N2A2,,,,,,,Adult not sampled.
Anvers,"Adult, 1 Egg Stage",N3A1,36.7,19.3,193,3450,8.76651,-25.32426,
Anvers,"Adult, 1 Egg Stage",N3A2,39.3,20.6,190,3650,8.66496,-25.29805,
Anvers,"Adult, 1 Egg Stage",N4A1,38.9,17.8,181,3625,9.18718,-25.21799,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N4A2,39.2,19.6,195,4675,9.4606,-24.89958,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N5A1,34.1,18.1,193,3475,,,No blood sample obtained.
Anvers,"Adult, 1 Egg Stage",N5A2,42,20.2,190,4250,9.13362,-25.09368,No blood sample obtained for sexing.
Anvers,"Adult, 1 Egg Stage",N6A1,37.8,17.1,186,3300,8.63243,-25.21315,No blood sample obtained for sexing.
Anvers,"Adult, 1 Egg Stage",N6A2,37.8,17.3,180,3700,,,No blood sample obtained.
Anvers,"Adult, 1 Egg Stage",N7A1,41.1,17.6,182,3200,,,Not enough blood for isotopes.
Anvers,"Adult, 1 Egg Stage",N7A2,38.6,21.2,191,3800,,,Not enough blood for isotopes.
Anvers,"Adult, 1 Egg Stage",N8A1,34.6,21.1,198,4400,8.55583,-25.22588,
Anvers,"Adult, 1 Egg Stage",N8A2,36.6,17.8,185,3700,,,Not enough blood for isotopes.
Anvers,"Adult, 1 Egg Stage",N9A1,38.7,19,195,3450,9.18528,-25.06691,
Anvers,"Adult, 1 Egg Stage",N9A2,42.5,20.7,197,4500,8.67538,-25.13993,
Anvers,"Adult, 1 Egg Stage",N10A1,34.4,18.4,184,3325,8.47827,-25.23319,
Anvers,"Adult, 1 Egg Stage",N10A2,46,21.5,194,4200,9.11616,-24.77227,
Anvers,"Adult, 1 Egg Stage",N11A1,37.8,18.3,174,3400,8.73762,-25.09383,
Anvers,"Adult, 1 Egg Stage",N11A2,37.7,18.7,180,3600,8.66271,-25.0639,
Anvers,"Adult, 1 Egg Stage",N12A1,35.9,19.2,189,3800,9.22286,-25.03474,
Anvers,"Adult, 1 Egg Stage",N12A2,38.2,18.1,185,3950,8.43423,-25.22664,
Anvers,"Adult, 1 Egg Stage",N13A1,38.8,17.2,180,3800,9.63954,-25.29856,
Anvers,"Adult, 1 Egg Stage",N13A2,35.3,18.9,187,3800,9.21292,-24.3613,
Anvers,"Adult, 1 Egg Stage",N17A1,40.6,18.6,183,3550,8.93997,-25.36288,
Anvers,"Adult, 1 Egg Stage",N17A2,40.5,17.9,187,3200,8.08138,-25.49448,
Anvers,"Adult, 1 Egg Stage",N18A1,37.9,18.6,172,3150,8.38404,-25.19837,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N18A2,40.5,18.9,180,3950,8.90027,-25.11609,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N21A1,39.5,16.7,178,3250,9.69756,-25.11223,
Anvers,"Adult, 1 Egg Stage",N21A2,37.2,18.1,178,3900,9.72764,-25.0102,
Anvers,"Adult, 1 Egg Stage",N22A1,39.5,17.8,188,3300,9.66523,-25.0602,
Anvers,"Adult, 1 Egg Stage",N22A2,40.9,18.9,184,3900,8.79665,-25.14591,
Anvers,"Adult, 1 Egg Stage",N23A1,36.4,17,195,3325,9.17847,-25.23061,
Anvers,"Adult, 1 Egg Stage",N23A2,39.2,21.1,196,4150,9.15308,-25.03469,
Anvers,"Adult, 1 Egg Stage",N24A1,38.8,20,190,3950,9.18985,-25.12255,
Anvers,"Adult, 1 Egg Stage",N24A2,42.2,18.5,180,3550,8.04787,-25.49523,
Anvers,"Adult, 1 Egg Stage",N25A1,37.6,19.3,181,3300,9.41131,-25.04169,Nest never observed with full clutch.
Anvers,"Adult, 1 Egg Stage",N25A2,39.8,19.1,184,4650,,,Nest never observed with full clutch. Not enough blood for isotopes.
Anvers,"Adult, 1 Egg Stage",N26A1,36.5,18,182,3150,9.68933,-24.4228,
Anvers,"Adult, 1 Egg Stage",N26A2,40.8,18.4,195,3900,,,Not enough blood for isotopes.
